[rosmaster.main][INFO] 2024-07-11 18:36:09,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-11 18:36:09,573: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-11 18:36:09,574: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-11 18:36:09,574: Started XML-RPC server [http://DESKTOP-ATHRI65:11311/]
[xmlrpc][INFO] 2024-07-11 18:36:09,574: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-11 18:36:09,574: Master initialized: port[11311], uri[http://DESKTOP-ATHRI65:11311/]
[rosmaster.master][INFO] 2024-07-11 18:36:09,583: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-11 18:36:09,584: +PARAM [/roslaunch/uris/host_desktop_athri65__44875] by /roslaunch
[rosmaster.master][INFO] 2024-07-11 18:36:09,603: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-11 18:36:09,603: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-11 18:36:09,655: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:09,656: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:09,657: +PUB [/rosout_agg] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:09,660: +SUB [/rosout] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:36,439: -PUB [/rosout_agg] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:36,440: -SUB [/rosout] /rosout http://DESKTOP-ATHRI65:41809/
[rosmaster.master][INFO] 2024-07-11 18:36:36,440: -SERVICE [/rosout/get_loggers] /rosout rosrpc://DESKTOP-ATHRI65:56209
[rosmaster.master][INFO] 2024-07-11 18:36:36,441: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://DESKTOP-ATHRI65:56209
[rosmaster.main][INFO] 2024-07-11 18:36:36,489: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-11 18:36:36,490: stopping master...
[rospy.core][INFO] 2024-07-11 18:36:36,490: signal_shutdown [atexit]
